paper_id	round	title	val_acc	val_auc	val_f1	peak_vram_gb	status	budget	source_doc	reproduction_level	description	config_path	summary_path
C1	round4	XFMamba multi-view classification	0.702127659574468	0.845454545454545	0.548387096774194	1.9	discard	proxy	docs/C_papers_ankle_ct_architecture_comparison.md	task_adapted	C1 XFMamba-lite cross-view fusion baseline	/dataset/HH/ankle-ct/paper_repro/configs/c1_xfmamba_lite.yaml	/dataset/HH/ankle-ct/runs/paper_repro/c1_xfmamba_lite/summary.json
C2	round1	MedpSeg + snapshot ResNet18	0.670212765957447	0.812045454545455	0.725663716814159	0.8	discard	proxy	docs/C_papers_ankle_ct_architecture_comparison.md	task_adapted	C2 ROI snapshots + ResNet18	/dataset/HH/ankle-ct/paper_repro/configs/c2_snapshot_multiview.yaml	/dataset/HH/ankle-ct/runs/paper_repro/c2_snapshot_multiview/summary.json
C3	round1	MMIDFNet decision fusion	0.755319148936170	0.849090909090909	0.684931506849315	0.5	keep	proxy	docs/C_papers_ankle_ct_architecture_comparison.md	task_adapted	C3 expert branches + decision fusion	/dataset/HH/ankle-ct/paper_repro/configs/c3_decision_fusion.yaml	/dataset/HH/ankle-ct/runs/paper_repro/c3_decision_fusion/summary.json
D1	round2	2.5D MIL	0.755319148936170	0.832272727272727	0.676056338028169	2.0	keep	proxy	docs/D_papers_architecture_comparison_ankle_CT.md	task_adapted	D1 2.5D bag-level attention MIL	/dataset/HH/ankle-ct/paper_repro/configs/d1_mil_25d.yaml	/dataset/HH/ankle-ct/runs/paper_repro/d1_mil_25d/summary.json
D2	round1	tri-plane hybrid	0.680851063829787	0.750227272727273	0.583333333333333	1.0	discard	proxy	docs/D_papers_architecture_comparison_ankle_CT.md	task_adapted	D2 tri-plane CNN + handcrafted features	/dataset/HH/ankle-ct/paper_repro/configs/d2_triplane_hybrid.yaml	/dataset/HH/ankle-ct/runs/paper_repro/d2_triplane_hybrid/summary.json
D4	round3	2.5D plus 3D ensemble	0.851063829787234	0.930909090909091	0.815789473684211	3.4	keep	proxy	docs/D_papers_architecture_comparison_ankle_CT.md	task_adapted	D4 2.5D and 3D ensemble	/dataset/HH/ankle-ct/paper_repro/configs/d4_hybrid_25d_3d.yaml	/dataset/HH/ankle-ct/runs/paper_repro/d4_hybrid_25d_3d/summary.json
R1	round3	FracNet-style dense anomaly aggregation	0.563829787234043	0.795000000000000	0.666666666666667	0.3	discard	proxy	docs/R_papers_ankle_ct_binary_comparison.md	task_adapted	R1 3D U-Net top-k dense anomaly aggregation	/dataset/HH/ankle-ct/paper_repro/configs/r1_fracnet_weak.yaml	/dataset/HH/ankle-ct/runs/paper_repro/r1_fracnet_weak/summary.json
R4	round3	nnU-Net-style dense vote	0.744680851063830	0.823181818181818	0.657142857142857	0.3	discard	proxy	docs/R_papers_ankle_ct_binary_comparison.md	task_adapted	R4 3D dense vote / majority aggregation	/dataset/HH/ankle-ct/paper_repro/configs/r4_dense_vote.yaml	/dataset/HH/ankle-ct/runs/paper_repro/r4_dense_vote/summary.json
S1	round4	3D EfficientNet-like classifier	0.808510638297872	0.905909090909091	0.763157894736842	2.2	keep	proxy	docs/s_papers_architecture_review.md	task_adapted	S1 3D EfficientNet-like tri-view classifier	/dataset/HH/ankle-ct/paper_repro/configs/s1_3d_efficient.yaml	/dataset/HH/ankle-ct/runs/paper_repro/s1_3d_efficient/summary.json
S2	round2	SE-ResNet50 classifier	0.734042553191489	0.824318181818182	0.725274725274725	7.9	discard	proxy	docs/s_papers_architecture_review.md	task_adapted	S2 SE-ResNet50 trip-view classifier	/dataset/HH/ankle-ct/paper_repro/configs/s2_se_resnet50.yaml	/dataset/HH/ankle-ct/runs/paper_repro/s2_se_resnet50/summary.json
S3	round4	anatomy-aware prototype classifier	0.680851063829787	0.779318181818182	0.680851063829787	0.4	discard	proxy	docs/s_papers_architecture_review.md	task_adapted	S3 anatomy-aware prototype head	/dataset/HH/ankle-ct/paper_repro/configs/s3_anatomy_prototype.yaml	/dataset/HH/ankle-ct/runs/paper_repro/s3_anatomy_prototype/summary.json
S4	round2	CNN-LSTM sequence classifier	0.712765957446808	0.797954545454545	0.674698795180723	1.9	discard	proxy	docs/s_papers_architecture_review.md	task_adapted	S4 sequence CNN-LSTM	/dataset/HH/ankle-ct/paper_repro/configs/s4_cnn_lstm.yaml	/dataset/HH/ankle-ct/runs/paper_repro/s4_cnn_lstm/summary.json
